x,y,z,r,g,b
0.375,-0.375,0.875,247,89,77
0.625,-0.375,-0.875,243,66,53
0.625,-0.375,-0.625,243,66,53
0.625,-0.375,-0.375,243,66,53
0.625,-0.375,-0.125,243,66,53
0.625,-0.375,0.125,243,66,53
0.625,-0.375,0.375,243,66,53
0.625,-0.375,0.625,243,66,53
0.625,-0.375,0.875,243,66,53
0.875,-0.375,-0.875,114,28,28
0.875,-0.375,-0.625,114,28,28
0.875,-0.375,-0.375,114,28,28
0.875,-0.375,-0.125,114,28,28
0.875,-0.375,0.125,114,28,28
0.875,-0.375,0.375,114,28,28
0.875,-0.375,0.625,114,28,28
0.875,-0.375,0.875,114,28,28
-0.875,-0.125,-0.875,96,26,21
-0.875,-0.125,-0.625,96,26,21
-0.875,-0.125,-0.375,96,26,21
-0.875,-0.125,-0.125,96,26,21
-0.875,-0.125,0.125,96,26,21
-0.875,-0.125,0.375,96,26,21
-0.875,-0.125,0.625,96,26,21
-0.875,-0.125,0.875,96,26,21
-0.625,-0.125,-0.875,245,78,66
-0.625,-0.125,-0.625,245,78,66
-0.625,-0.125,-0.375,245,78,66
-0.625,-0.125,-0.125,245,78,66
-0.625,-0.125,0.125,245,78,66
-0.625,-0.125,0.375,245,78,66
-0.625,-0.125,0.625,245,78,66
-0.625,-0.125,0.875,245,78,66
-0.375,-0.125,-0.875,244,67,54
-0.375,-0.125,-0.625,244,67,54
-0.375,-0.125,-0.375,244,67,54
-0.375,-0.125,-0.125,244,67,54
-0.375,-0.125,0.125,244,67,54
-0.375,-0.125,0.375,244,67,54
-0.375,-0.125,0.625,244,67,54
-0.375,-0.125,0.875,244,67,54
-0.125,-0.125,-0.875,244,67,54
-0.125,-0.125,-0.625,244,67,54
-0.125,-0.125,-0.375,244,67,54
-0.125,-0.125,-0.125,244,67,54
-0.125,-0.125,0.125,244,67,54
-0.125,-0.125,0.375,244,67,54
-0.125,-0.125,0.625,244,67,54
-0.125,-0.125,0.875,244,67,54
0.125,-0.125,-0.875,244,67,54
0.125,-0.125,-0.625,244,67,54
0.125,-0.125,-0.375,244,67,54
0.125,-0.125,-0.125,244,67,54
0.125,-0.125,0.125,244,67,54
0.125,-0.125,0.375,244,67,54
0.125,-0.125,0.625,244,67,54
0.125,-0.125,0.875,244,67,54
0.375,-0.125,-0.875,244,67,54
0.375,-0.125,-0.625,244,67,54
0.375,-0.125,-0.375,244,67,54
0.375,-0.125,-0.125,244,67,54
0.375,-0.125,0.125,244,67,54
0.375,-0.125,0.375,244,67,54
0.375,-0.125,0.625,244,67,54
0.375,-0.125,0.875,244,67,54
0.625,-0.125,-0.875,242,66,53
0.625,-0.125,-0.625,242,66,53
0.625,-0.125,-0.375,242,66,53
0.625,-0.125,-0.125,242,66,53
0.625,-0.125,0.125,242,66,53
0.625,-0.125,0.375,242,66,53
0.625,-0.125,0.625,242,66,53
0.625,-0.125,0.875,242,66,53
0.875,-0.125,-0.875,107,26,26
0.875,-0.125,-0.625,107,26,26
0.875,-0.125,-0.375,107,26,26
0.875,-0.125,-0.125,107,26,26
0.875,-0.125,0.125,107,26,26
0.875,-0.125,0.375,107,26,26
0.875,-0.125,0.625,107,26,26
0.875,-0.125,0.875,107,26,26
-0.875,0.125,-0.875,15,4,3
-0.875,0.125,-0.625,15,4,3
-0.875,0.125,-0.375,15,4,3
-0.875,0.125,-0.125,15,4,3
-0.875,0.125,0.125,15,4,3
-0.875,0.125,0.375,15,4,3
-0.875,0.125,0.625,15,4,3
-0.875,0.125,0.875,15,4,3
-0.625,0.125,-0.875,226,62,50
-0.625,0.125,-0.625,226,62,50
-0.625,0.125,-0.375,226,62,50
-0.625,0.125,-0.125,226,62,50
-0.625,0.125,0.125,226,62,50
-0.625,0.125,0.375,226,62,50
-0.625,0.125,0.625,226,62,50
-0.625,0.125,0.875,226,62,50
-0.375,0.125,-0.875,244,67,54
-0.375,0.125,-0.625,244,67,54
-0.375,0.125,-0.375,244,67,54
-0.375,0.125,-0.125,244,67,54
-0.375,0.125,0.125,244,67,54
-0.375,0.125,0.375,244,67,54
-0.375,0.125,0.625,244,67,54
-0.375,0.125,0.875,244,67,54
-0.125,0.125,-0.875,244,67,54
-0.125,0.125,-0.625,244,67,54
-0.125,0.125,-0.375,244,67,54
-0.125,0.125,-0.125,244,67,54
-0.125,0.125,0.125,244,67,54
-0.125,0.125,0.375,244,67,54
-0.125,0.125,0.625,244,67,54
-0.125,0.125,0.875,244,67,54
0.125,0.125,-0.875,244,67,54
0.125,0.125,-0.625,244,67,54
0.125,0.125,-0.375,244,67,54
0.125,0.125,-0.125,244,67,54
0.125,0.125,0.125,244,67,54
0.125,0.125,0.375,244,67,54
0.125,0.125,0.625,244,67,54
0.125,0.125,0.875,244,67,54
0.375,0.125,-0.875,244,67,54
0.375,0.125,-0.625,244,67,54
0.375,0.125,-0.375,244,67,54
0.375,0.125,-0.125,244,67,54
0.375,0.125,0.125,244,67,54
0.375,0.125,0.375,244,67,54
0.375,0.125,0.625,244,67,54
0.375,0.125,0.875,244,67,54
0.625,0.125,-0.875,222,59,51
0.625,0.125,-0.625,222,59,51
0.625,0.125,-0.375,222,59,51
0.625,0.125,-0.125,222,59,51
0.625,0.125,0.125,222,59,51
0.625,0.125,0.375,222,59,51
0.625,0.125,0.625,222,59,51
0.625,0.125,0.875,222,59,51
0.875,0.125,-0.875,26,6,6
0.875,0.125,-0.625,26,6,6
0.875,0.125,-0.375,26,6,6
0.875,0.125,-0.125,26,6,6
0.875,0.125,0.125,26,6,6
0.875,0.125,0.375,26,6,6
0.875,0.125,0.625,26,6,6
0.875,0.125,0.875,26,6,6
-0.625,0.375,-0.875,61,16,13
-0.625,0.375,-0.625,61,16,13
-0.625,0.375,-0.375,61,16,13
-0.625,0.375,-0.125,61,16,13
-0.625,0.375,0.125,61,16,13
-0.625,0.375,0.375,61,16,13
-0.625,0.375,0.625,61,16,13
-0.625,0.375,0.875,61,16,13
-0.375,0.375,-0.875,239,65,53
-0.375,0.375,-0.625,239,65,53
-0.375,0.375,-0.375,239,65,53
-0.375,0.375,-0.125,239,65,53
-0.375,0.375,0.125,239,65,53
-0.375,0.375,0.375,239,65,53
-0.375,0.375,0.625,239,65,53
-0.375,0.375,0.875,239,65,53
-0.125,0.375,-0.875,244,67,54
-0.125,0.375,-0.625,244,67,54
-0.125,0.375,-0.375,244,67,54
-0.125,0.375,-0.125,244,67,54
-0.125,0.375,0.125,244,67,54
-0.125,0.375,0.375,244,67,54
-0.125,0.375,0.625,244,67,54
-0.125,0.375,0.875,244,67,54
0.125,0.375,-0.875,244,67,54
0.125,0.375,-0.625,244,67,54
0.125,0.375,-0.375,244,67,54
0.125,0.375,-0.125,244,67,54
0.125,0.375,0.125,244,67,54
0.125,0.375,0.375,244,67,54
0.125,0.375,0.625,244,67,54
0.125,0.375,0.875,244,67,54
0.375,0.375,-0.875,237,64,53
0.375,0.375,-0.625,237,64,53
0.375,0.375,-0.375,237,64,53
0.375,0.375,-0.125,237,64,53
0.375,0.375,0.125,237,64,53
0.375,0.375,0.375,237,64,53
0.375,0.375,0.625,237,64,53
0.375,0.375,0.875,237,64,53
0.625,0.375,-0.875,73,18,18
0.625,0.375,-0.625,73,18,18
0.625,0.375,-0.375,73,18,18
0.625,0.375,-0.125,73,18,18
0.625,0.375,0.125,73,18,18
0.625,0.375,0.375,73,18,18
0.625,0.375,0.625,73,18,18
0.625,0.375,0.875,73,18,18
-0.375,0.625,-0.875,70,19,15
-0.375,0.625,-0.625,70,19,15
-0.375,0.625,-0.375,70,19,15
-0.375,0.625,-0.125,70,19,15
-0.375,0.625,0.125,70,19,15
-0.375,0.625,0.375,70,19,15
-0.375,0.625,0.625,70,19,15
-0.375,0.625,0.875,70,19,15
-0.125,0.625,-0.875,233,63,51
-0.125,0.625,-0.625,233,63,51
-0.125,0.625,-0.375,233,63,51
-0.125,0.625,-0.125,233,63,51
-0.125,0.625,0.125,233,63,51
-0.125,0.625,0.375,233,63,51
-0.125,0.625,0.625,233,63,51
-0.125,0.625,0.875,233,63,51
0.125,0.625,-0.875,236,64,52
0.125,0.625,-0.625,236,64,52
0.125,0.625,-0.375,236,64,52
0.125,0.625,-0.125,236,64,52
0.125,0.625,0.125,236,64,52
0.125,0.625,0.375,236,64,52
0.125,0.625,0.625,236,64,52
0.125,0.625,0.875,236,64,52
0.375,0.625,-0.875,83,21,19
0.375,0.625,-0.625,83,21,19
0.375,0.625,-0.375,83,21,19
0.375,0.625,-0.125,83,21,19
0.375,0.625,0.125,83,21,19
0.375,0.625,0.375,83,21,19
0.375,0.625,0.625,83,21,19
0.375,0.625,0.875,83,21,19
-0.125,0.875,-0.875,45,12,9
-0.125,0.875,-0.625,45,12,9
-0.125,0.875,-0.375,45,12,9
-0.125,0.875,-0.125,45,12,9
-0.125,0.875,0.125,45,12,9
-0.125,0.875,0.375,45,12,9
-0.125,0.875,0.625,45,12,9
-0.125,0.875,0.875,45,12,9
0.125,0.875,-0.875,57,15,13
0.125,0.875,-0.625,57,15,13
0.125,0.875,-0.375,57,15,13
0.125,0.875,-0.125,57,15,13
0.125,0.875,0.125,57,15,13
0.125,0.875,0.375,57,15,13
0.125,0.875,0.625,57,15,13
0.125,0.875,0.875,57,15,13
