AminoAcid,3Letter,1Letter,Property,Hydrophobicity,MW,pKa_COOH,pKa_NH3,pKa_Side,pI,AtomIndex,AtomSymbol,X,Y,Z
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,13,H,1.1728009089835136,-1.0641367952082088,-1.071553346641729
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,14,H,0.47243690939051236,0.5546184441122293,-1.2549635654364675
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,15,H,2.893145917690595,0.9804284289262625,-0.8153608912375339
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,16,H,3.3170061969354485,1.1524280526181139,0.8617714468592113
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,17,H,-1.8864828913933187,2.0765309870270907,0.8456790596018412
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,1,N,-1.4364274594342492,-2.3076197815605566,-0.3534393538061508
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,2,C,-0.7406893620078989,-1.0709166121029672,0.08923194914339952
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,3,C,-0.09072289613383666,-0.4226510087606509,-1.1411488732723496
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,4,C,0.7446461507303554,0.8276200761871891,-0.8558157219281206
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,5,C,1.9590631435402843,0.5675665826381929,0.009120142132184138
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,6,N,2.633300647344512,1.694856204437879,0.37833516284474544
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,7,O,2.354444120905335,-0.5394410884089403,0.34840105297483437
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,8,C,-1.7621057468912344,-0.1395212627526262,0.7541119670150451
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,9,O,-1.2064156006206528,0.7555560121091738,1.5939780503793428
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,10,O,-2.9732103383874877,-0.15750966249791024,0.5898810708648108
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,11,H,-1.831695089149026,-2.7657563580409406,0.4688965511727517
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,12,H,-2.249951467370565,-2.0321339339821664,-0.9095345797522685
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,13,H,-0.0008690274871535151,-1.3672527001166925,0.8384600532175249
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,14,H,0.5481438051967215,-1.1624345873456072,-1.6421942382123582
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,15,H,-0.8711605709662603,-0.1436540521626725,-1.8620609751962823
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,16,H,0.13285757571724258,1.6108075682638425,-0.3973685134062805
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,17,H,1.1102206512633808,1.2251632626425282,-1.8109619271730262
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,18,H,2.2408950902823275,2.619693916061723,0.2743864836417295
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,19,H,3.415780239498043,1.57356693592151,1.0087052490984614
Glutamine,Gln,Q,Polar (uncharged),-3.5,146.15,2.17,9.13,-,5.65,20,H,-1.9761038660299217,1.234326287875729,1.9681094528542313
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,1,N,-1.6964151198958355,-1.3373479704559708,0.4109435173294056
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,2,C,-0.43409446404166874,-0.5502825907097324,0.3786688452584541
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,3,C,0.037054175187030386,-0.4113446472756241,-1.062684746508053
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,4,C,1.413026125829456,0.1824281265206735,-1.131890243465171
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,5,O,2.35953545862572,-0.6051492082787859,-0.590727846489621
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,6,O,1.7052534126724939,1.2531618505061946,-1.6379739839980947
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,7,C,-0.6859467345599966,0.8342724780183134,0.9851280303571015
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,8,O,0.4436334702272398,1.4572525639086138,1.3688714258489736
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,9,O,-1.774171978963315,1.3689158696313157,1.13539503111714
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,10,H,-1.9964908612469596,-1.421198921718353,1.3845237432131163
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,11,H,-2.432507090306466,-0.7745931836518012,-0.026079256174498522
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,12,H,0.29714559310222965,-1.074053407200903,1.0040306355083708
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,13,H,-0.6379838736411702,0.23340783161876072,-1.6394473408870518
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,14,H,0.06828269017359209,-1.38139841391793,-1.5735445646643322
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,15,H,3.191758717882876,-0.10095264177215979,-0.7132983379089599
Aspartic Acid,Asp,D,Acidic,-3.5,133.1,1.88,9.6,3.65,2.77,16,H,0.14192047895572207,2.326882264776975,1.7080850914630825
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,1,N,1.3128286053361196,0.0643721489891446,2.1192068163652973
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,2,C,0.9053266545983316,-0.382427016912509,0.767334444247143
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,3,C,-0.44681948893950396,0.256713117255614,0.43568535442824835
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,4,C,-1.1147678449117644,-0.373287162674304,-0.7851581075025806
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,5,C,-2.5309480663636994,0.10601112371748837,-0.9170824750908249
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,6,O,-2.6185484667804735,1.3667936351034036,-1.3765791377069971
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,7,O,-3.5326208474393703,-0.5324005417609368,-0.6404890010830974
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,8,C,2.002858666672452,-0.009431119568068465,-0.243872368166797
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,9,O,3.2493686756644786,-0.22889448888329408,0.24166596891035028
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,10,O,1.8583424085704212,0.3841728917059937,-1.3891565935988623
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,11,H,0.7428571116641222,-0.40889507632630573,2.818122411094103
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,12,H,2.2763519347226486,-0.24678614023540005,2.2706197046412075
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,13,H,0.8245389619070324,-1.4756210253076438,0.7688227833945216
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,14,H,-0.3293948687998697,1.336176422775725,0.2715476284634174
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,15,H,-1.1246357135098686,0.14755846804352615,1.2936934923863463
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,16,H,-0.5852415844014464,-0.14943685689939504,-1.7160845953146668
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,17,H,-1.1422802110890555,-1.465141363333082,-0.6905396081178188
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,18,H,-3.5809442002582568,1.547859883381099,-1.408933734973874
Glutamic Acid,Glu,E,Acidic,-3.5,147.13,2.19,9.67,4.25,3.22,19,H,3.8337282733579117,0.06266310092860904,-0.48919194607326216
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,1,N,-2.162249877515235,-1.7422466680432123,0.12116731251651848
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,2,C,-2.039454137132563,-0.29851012801020144,0.43018583870916977
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,3,C,-0.8162384503391136,0.30571468597471596,-0.2728185991711899
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,4,C,0.5072611668045822,-0.3227364947343558,0.17730159649446536
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,5,C,1.702547419131775,0.3666857312405804,-0.48582652842326723
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,6,C,3.0198991961641193,-0.27305797176213314,-0.05084739684807666
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,7,N,4.144266785512416,0.40066356951747273,-0.6903303254696274
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,8,C,-3.318411841518851,0.4341263976117835,0.0032945909330806935
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,9,O,-3.3331753686086367,1.7334472083091645,0.3599969878365904
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,10,O,-4.2764854079534205,-0.05745957403082183,-0.5749485890821383
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,11,H,-3.0344385157114093,-2.081341850884991,0.5336632297640627
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,12,H,-2.3113286471530627,-1.8410869804574808,-0.885737610793516
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,13,H,-1.9488530448732848,-0.1958206424587334,1.5175396435725717
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,14,H,-0.9217277274118545,0.20301019856459357,-1.3611846872623197
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,15,H,-0.7799759774357605,1.3844626818748813,-0.07360254628915512
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,16,H,0.5981662193593852,-0.24388249100154893,1.267459222375411
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,17,H,0.5222890030566236,-1.3896393529359323,-0.07404466633023328
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,18,H,1.7008489035394334,1.432033462771782,-0.22256586173165466
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,19,H,1.602144,0.30350871516126676,-1.5767930129778271
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,20,H,3.033871595975616,-1.332447502321988,-0.32845569595526364
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,21,H,3.1311511034555726,-0.21139079481351056,1.0372763750046539
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,22,H,5.015810521969123,-0.011552865004422774,-0.35978017994470474
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,23,H,4.165143405735569,0.3915237584176219,0.29855708790753827
Lysine,Lys,K,Basic,-3.9,146.19,2.18,8.95,10.53,9.74,24,H,-4.201060633856046,2.0585991622992994,0.0401779503705987
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,1,N,3.3014910470128647,0.07066273275435765,-1.4170155446772539
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,2,C,2.1854943889671567,0.3088247182879377,-0.4712579776728658
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,3,C,1.5584566543732645,-1.0466553017809528,-0.11598607846513383
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,4,C,0.19234945134133605,-0.95836268815237,0.578601023045329
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,5,C,-0.9181018825332755,-0.4571904939169675,-0.3456458506876218
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,6,N,-2.1851737523179198,-0.45428027757859113,0.37009007934676563
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,7,C,-3.2961728663537904,0.054996678801795734,-0.20997364975769747
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,8,N,-4.390093487183477,-0.17538468541686292,0.5417271892129734
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,9,N,-3.3217623305446105,0.6881666382255941,-1.3231313559395619
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,10,C,2.7255615529111292,1.0480704040037263,0.7656824909722961
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,11,O,3.553385607562425,2.068838048097269,0.43168826834249285
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,12,O,2.460417727234817,0.840205146192934,1.9379190424744521
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,13,H,3.7963448934011397,0.9590307203348569,-1.5368426000332167
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,14,H,2.9208086120755854,-0.16914639497941375,-2.3309441727975484
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,15,H,1.4603765291397006,0.9705936530634386,-0.9542815082542115
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,16,H,2.240682586755493,-1.6028700412211014,0.5407883760490518
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,17,H,1.4378500635136842,-1.6537428808247467,-1.0232394082235297
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,18,H,-0.0720815957679409,-1.9619682684487443,0.9369403885305104
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,19,H,0.24805615189244137,-0.32477056731441306,1.4704556961557982
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,20,H,-0.9939387521746059,-1.1061701714574306,-1.2258254865207578
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,21,H,-0.6923347901431919,0.5578099063341307,-0.6879547996277254
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,22,H,-2.3693586124340498,-1.3257293532504564,0.8534523131311552
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,23,H,-5.1919477634840625,0.3915237584176219,0.29855708790753827
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,24,H,-4.193533178856937,-0.10484336887414457,1.5338298193579976
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,25,H,-4.28180528426124,0.9491134598801356,-1.5486622935106753
Arginine,Arg,R,Basic,-4.5,174.2,2.17,9.04,12.48,10.76,26,H,3.8250290298741265,2.4332786288227117,1.2998721116227854
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,1,N,0.557573818045128,-1.8181767919440457,0.16440770437809485
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,2,C,1.0342064930815837,-0.49229259458544655,-0.3447062947695466
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,3,C,0.3328065447734783,0.6746996785898418,0.374744210334888
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,4,C,-1.1342530173543368,0.7500045957053783,0.10607571639643473
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,5,C,-1.9846967111402758,1.8093925247863052,-0.12331452667248781
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,6,N,-3.27079790489807,1.3725441061082273,-0.31320613531782987
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,7,C,-3.214533551823292,0.06526335983064398,-0.20031171393420402
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,8,N,-1.9452911372636745,-0.3583973691016218,0.059665582463232315
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,9,C,2.548436379491805,-0.3825593525805686,-0.14468671040116354
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,10,O,3.092130065166731,0.6911313175365749,-0.747488254549288
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,11,O,3.2508976614699967,-1.1720108030068233,0.4694549435597205
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,12,H,1.0852422456255488,-2.5403492319832957,-0.33569493031568076
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,13,H,0.8965120410288819,-1.9092825737703576,1.1284698914476683
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,14,H,0.8343221488844262,-0.46584363917673616,-1.422436416415597
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,15,H,0.7899567446626299,1.6245256417092384,0.06868235812255633
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,16,H,0.49246091293783334,0.5992618558359123,1.458670085337627
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,17,H,-1.7413924837831842,2.86350228404018,-0.1619907749640785
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,18,H,-4.047763917970157,-0.6173599192069567,-0.29720879766361175
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,19,H,-1.6278789876968267,-1.3161490295149096,0.16753429749098694
Histidine,His,H,Basic,-3.2,155.16,1.82,9.17,6.0,7.59,20,H,4.052062656761362,0.6220959407281648,-0.5575672319360389
