[2026-02-14 22:44:32] CommandExecuted: Feed pet | Source: keyboard_input
[2026-02-14 23:39:25] MovementEvent: Move Up (key: w) | Source: keyboard_input
[2026-02-14 23:39:25] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 4, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:39:26] MovementEvent: Move Left (key: a) | Source: keyboard_input
[2026-02-14 23:39:26] StateUpdate: Pet state updated: {'pos_x': 4, 'pos_y': 4, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:39:26] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-14 23:39:26] StateUpdate: Pet state updated: {'pos_x': 4, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:39:27] StateUpdate: Pet state updated: {'pos_x': 4, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:39:27] StateUpdate: Pet state updated: {'pos_x': 4, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:39:27] StateUpdate: Pet state updated: {'pos_x': 4, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:39:27] StateUpdate: Pet state updated: {'pos_x': 4, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:39:27] StateUpdate: Pet state updated: {'pos_x': 4, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:39:27] StateUpdate: Pet state updated: {'pos_x': 4, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:39:56] MovementEvent: Move Up (key: w) | Source: keyboard_input
[2026-02-14 23:39:56] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 4, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:42:14] MovementEvent: Move Left (key: a) | Source: keyboard_input
[2026-02-14 23:42:14] StateUpdate: Pet state updated: {'pos_x': 4, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:42:15] MovementEvent: Move Left (key: a) | Source: keyboard_input
[2026-02-14 23:42:15] StateUpdate: Pet state updated: {'pos_x': 3, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:42:15] MovementEvent: Move Left (key: a) | Source: keyboard_input
[2026-02-14 23:42:15] StateUpdate: Pet state updated: {'pos_x': 2, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:42:16] MovementEvent: Move Up (key: w) | Source: keyboard_input
[2026-02-14 23:42:16] StateUpdate: Pet state updated: {'pos_x': 2, 'pos_y': 4, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:42:16] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-14 23:42:16] StateUpdate: Pet state updated: {'pos_x': 2, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:42:17] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-14 23:42:17] StateUpdate: Pet state updated: {'pos_x': 2, 'pos_y': 6, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:42:17] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-14 23:42:17] StateUpdate: Pet state updated: {'pos_x': 2, 'pos_y': 7, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:42:18] StateUpdate: Pet state updated: {'pos_x': 2, 'pos_y': 7, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:42:18] StateUpdate: Pet state updated: {'pos_x': 2, 'pos_y': 7, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:42:18] StateUpdate: Pet state updated: {'pos_x': 2, 'pos_y': 7, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:42:18] StateUpdate: Pet state updated: {'pos_x': 2, 'pos_y': 7, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:42:18] StateUpdate: Pet state updated: {'pos_x': 2, 'pos_y': 7, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:42:18] StateUpdate: Pet state updated: {'pos_x': 2, 'pos_y': 7, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:42:19] CommandExecuted: Feed pet | Source: keyboard_input
[2026-02-14 23:42:19] StateUpdate: Pet state updated: {'pos_x': 2, 'pos_y': 7, 'name': 'FuzzPet', 'hunger': 30, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:44:39] MovementEvent: Move Up (key: w) | Source: keyboard_input
[2026-02-14 23:44:39] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 4, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:44:40] MovementEvent: Move Up (key: w) | Source: keyboard_input
[2026-02-14 23:44:40] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 3, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:46:32] MovementEvent: Move Up (key: w) | Source: keyboard_input
[2026-02-14 23:46:32] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 4, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:46:32] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-14 23:46:32] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:46:34] MovementEvent: Move Left (key: a) | Source: keyboard_input
[2026-02-14 23:46:34] StateUpdate: Pet state updated: {'pos_x': 4, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:46:34] MovementEvent: Move Left (key: a) | Source: keyboard_input
[2026-02-14 23:46:34] StateUpdate: Pet state updated: {'pos_x': 3, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:46:34] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-14 23:46:34] StateUpdate: Pet state updated: {'pos_x': 3, 'pos_y': 6, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:46:35] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-14 23:46:35] StateUpdate: Pet state updated: {'pos_x': 4, 'pos_y': 6, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:46:35] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-14 23:46:35] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 6, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:46:35] MovementEvent: Move Up (key: w) | Source: keyboard_input
[2026-02-14 23:46:35] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:46:35] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-14 23:46:35] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 6, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:46:36] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-14 23:46:36] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 7, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:46:36] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-14 23:46:36] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 8, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:48:45] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-14 23:48:45] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:48:57] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:48:57] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:48:57] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:48:58] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:48:58] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:48:58] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:48:59] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:48:59] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:48:59] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:49:00] CommandExecuted: Feed pet | Source: keyboard_input
[2026-02-14 23:49:00] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 30, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:50:28] MovementEvent: Move Up (key: w) | Source: keyboard_input
[2026-02-14 23:50:28] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 4, 'name': 'FuzzPet', 'hunger': 30, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:50:29] MovementEvent: Move Up (key: w) | Source: keyboard_input
[2026-02-14 23:50:29] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 4, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:50:29] MovementEvent: Move Up (key: w) | Source: keyboard_input
[2026-02-14 23:50:29] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 3, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:50:29] MovementEvent: Move Up (key: w) | Source: keyboard_input
[2026-02-14 23:50:29] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 3, 'name': 'FuzzPet', 'hunger': 30, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:52:40] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-14 23:52:40] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 3, 'name': 'FuzzPet', 'hunger': 30, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:52:40] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-14 23:52:40] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:52:45] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:52:45] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:55:07] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-14 23:55:07] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 6, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:55:08] MovementEvent: Move Left (key: a) | Source: keyboard_input
[2026-02-14 23:55:08] StateUpdate: Pet state updated: {'pos_x': 4, 'pos_y': 6, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:55:08] MovementEvent: Move Up (key: w) | Source: keyboard_input
[2026-02-14 23:55:08] StateUpdate: Pet state updated: {'pos_x': 4, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:56:24] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-14 23:56:24] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:56:25] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:00:43] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-15 00:00:43] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:04:29] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-15 00:04:29] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:04:29] MovementEvent: Move Left (key: a) | Source: keyboard_input
[2026-02-15 00:04:29] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:04:29] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-15 00:04:29] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 6, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:04:46] CommandExecuted: Feed pet | Source: keyboard_input
[2026-02-15 00:04:46] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 30, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:04:46] CommandExecuted: Play with pet | Source: keyboard_input
[2026-02-15 00:04:46] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 30, 'happiness': 65, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:05:59] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-15 00:05:59] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:06:00] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-15 00:06:00] StateUpdate: Pet state updated: {'pos_x': 7, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:06:00] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-15 00:06:00] StateUpdate: Pet state updated: {'pos_x': 7, 'pos_y': 6, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:10:15] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-15 00:10:15] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:10:16] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-15 00:10:16] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 6, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:16:02] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-15 00:16:02] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:16:03] MovementEvent: Move Left (key: a) | Source: keyboard_input
[2026-02-15 00:16:03] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:16:04] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-15 00:16:04] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 6, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:16:05] CommandExecuted: Play with pet | Source: keyboard_input
[2026-02-15 00:16:05] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 6, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 65, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:20:47] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:20:47] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:20:47] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:20:47] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:20:47] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:20:47] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:20:48] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:20:48] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:20:48] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:20:48] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:20:48] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:20:48] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:20:48] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-15 00:20:48] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:20:49] MovementEvent: Move Up (key: w) | Source: keyboard_input
[2026-02-15 00:20:49] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 4, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-15 00:20:49] MovementEvent: Move Right (key: d) | Source: keyboard_input
